probe_id,user_id,probe_type,target_habit_count,evidence_count,max_evidence_distance,median_evidence_distance,query_token_estimate
mdgo_v05_probe_000290,mdgo_v05_fin_user_0016,boundary_near_miss,1,1,189,189,443
mdgo_v05_probe_000291,mdgo_v05_fin_user_0016,boundary_plus_active,2,5,190,78,622
mdgo_v05_probe_000292,mdgo_v05_fin_user_0016,exception_nested,1,1,118,118,472
mdgo_v05_probe_000293,mdgo_v05_fin_user_0016,exception_plus_active,2,6,293,135.5,630
mdgo_v05_probe_000294,mdgo_v05_fin_user_0016,composition_pair,2,6,141,69.5,607
mdgo_v05_probe_000295,mdgo_v05_fin_user_0016,composition_pair_2,2,12,293,155.0,642
mdgo_v05_probe_000296,mdgo_v05_fin_user_0016,composition_triple,3,14,295,96.5,823
mdgo_v05_probe_000297,mdgo_v05_fin_user_0016,priority_pair,2,7,233,96,640
mdgo_v05_probe_000298,mdgo_v05_fin_user_0016,priority_triple,3,12,295,115.0,813
mdgo_v05_probe_000299,mdgo_v05_fin_user_0016,drift_recent_override,1,4,106,59.5,423
mdgo_v05_probe_000300,mdgo_v05_fin_user_0016,drift_composition,2,13,293,107,555
mdgo_v05_probe_000301,mdgo_v05_fin_user_0016,drift_exception,1,5,106,42,437
mdgo_v05_probe_000302,mdgo_v05_fin_user_0016,false_personalization,1,0,,,449
mdgo_v05_probe_000303,mdgo_v05_fin_user_0016,insufficient_evidence,1,1,271,271,455
mdgo_v05_probe_000304,mdgo_v05_fin_user_0016,temporal_scope,2,9,293,82,687
mdgo_v05_probe_000305,mdgo_v05_fin_user_0016,explicit_retrieval,2,8,295,156.0,631
mdgo_v05_probe_000306,mdgo_v05_fin_user_0017,long_gap_direct,1,5,295,155,409
mdgo_v05_probe_000307,mdgo_v05_fin_user_0017,implicit_direct,1,5,292,152,418
mdgo_v05_probe_000308,mdgo_v05_fin_user_0017,boundary_near_miss,1,0,,,434
mdgo_v05_probe_000309,mdgo_v05_fin_user_0017,boundary_plus_active,2,9,292,110,628
mdgo_v05_probe_000310,mdgo_v05_fin_user_0017,exception_nested,1,1,116,116,415
mdgo_v05_probe_000311,mdgo_v05_fin_user_0017,exception_plus_active,2,12,296,136.5,640
mdgo_v05_probe_000312,mdgo_v05_fin_user_0017,composition_pair,2,10,292,108.0,660
mdgo_v05_probe_000313,mdgo_v05_fin_user_0017,composition_pair_2,2,14,296,107.0,665
mdgo_v05_probe_000314,mdgo_v05_fin_user_0017,composition_triple,3,21,296,152,809
mdgo_v05_probe_000315,mdgo_v05_fin_user_0017,priority_pair,2,13,295,134,640
mdgo_v05_probe_000316,mdgo_v05_fin_user_0017,priority_triple,3,13,291,79,814
mdgo_v05_probe_000317,mdgo_v05_fin_user_0017,drift_recent_override,1,4,108,61.5,396
mdgo_v05_probe_000318,mdgo_v05_fin_user_0017,drift_composition,2,12,291,93.0,620
mdgo_v05_probe_000319,mdgo_v05_fin_user_0017,drift_exception,1,5,108,44,404
mdgo_v05_probe_000320,mdgo_v05_fin_user_0017,false_personalization,1,0,,,420
mdgo_v05_probe_000321,mdgo_v05_fin_user_0017,insufficient_evidence,1,1,272,272,480
mdgo_v05_probe_000322,mdgo_v05_fin_user_0017,temporal_scope,2,10,292,151.5,634
mdgo_v05_probe_000323,mdgo_v05_fin_user_0017,explicit_retrieval,2,9,291,80,676
mdgo_v05_probe_000324,mdgo_v05_fin_user_0018,long_gap_direct,1,2,296,168.5,445
mdgo_v05_probe_000325,mdgo_v05_fin_user_0018,implicit_direct,1,5,291,151,462
mdgo_v05_probe_000326,mdgo_v05_fin_user_0018,boundary_near_miss,1,1,190,190,421
mdgo_v05_probe_000327,mdgo_v05_fin_user_0018,boundary_plus_active,2,11,291,107,649
mdgo_v05_probe_000328,mdgo_v05_fin_user_0018,exception_nested,1,1,122,122,462
mdgo_v05_probe_000329,mdgo_v05_fin_user_0018,exception_plus_active,2,10,293,137.5,624
mdgo_v05_probe_000330,mdgo_v05_fin_user_0018,composition_pair,2,11,291,107,611
mdgo_v05_probe_000331,mdgo_v05_fin_user_0018,composition_pair_2,2,11,233,106,715
mdgo_v05_probe_000332,mdgo_v05_fin_user_0018,composition_triple,3,14,296,154.0,884
mdgo_v05_probe_000333,mdgo_v05_fin_user_0018,priority_pair,2,10,296,67.5,645
mdgo_v05_probe_000334,mdgo_v05_fin_user_0018,priority_triple,3,14,296,67.5,877
mdgo_v05_probe_000335,mdgo_v05_fin_user_0018,drift_recent_override,1,4,107,60.5,418
mdgo_v05_probe_000336,mdgo_v05_fin_user_0018,drift_composition,2,11,233,106,644
mdgo_v05_probe_000337,mdgo_v05_fin_user_0018,drift_exception,1,5,107,43,423
mdgo_v05_probe_000338,mdgo_v05_fin_user_0018,false_personalization,1,0,,,442
mdgo_v05_probe_000339,mdgo_v05_fin_user_0018,insufficient_evidence,1,1,264,264,457
mdgo_v05_probe_000340,mdgo_v05_fin_user_0018,temporal_scope,2,9,291,80,633
mdgo_v05_probe_000341,mdgo_v05_fin_user_0018,explicit_retrieval,2,7,296,151,616
mdgo_v05_probe_000342,mdgo_v05_fin_user_0019,long_gap_direct,1,0,,,430
mdgo_v05_probe_000343,mdgo_v05_fin_user_0019,implicit_direct,1,4,108,61.5,459
mdgo_v05_probe_000344,mdgo_v05_fin_user_0019,boundary_near_miss,1,1,192,192,467
mdgo_v05_probe_000345,mdgo_v05_fin_user_0019,boundary_plus_active,2,12,293,172.5,616
mdgo_v05_probe_000346,mdgo_v05_fin_user_0019,exception_nested,1,1,120,120,431
mdgo_v05_probe_000347,mdgo_v05_fin_user_0019,exception_plus_active,2,6,295,137.5,590
mdgo_v05_probe_000348,mdgo_v05_fin_user_0019,composition_pair,2,13,293,106,584
mdgo_v05_probe_000349,mdgo_v05_fin_user_0019,composition_pair_2,2,7,291,151,611
mdgo_v05_probe_000350,mdgo_v05_fin_user_0019,composition_triple,3,18,293,94.0,811
mdgo_v05_probe_000351,mdgo_v05_fin_user_0019,priority_pair,2,9,292,96,616
mdgo_v05_probe_000352,mdgo_v05_fin_user_0019,priority_triple,3,14,293,115.0,774
mdgo_v05_probe_000353,mdgo_v05_fin_user_0019,drift_recent_override,1,0,,,446
mdgo_v05_probe_000354,mdgo_v05_fin_user_0019,drift_composition,2,13,292,81,628
mdgo_v05_probe_000355,mdgo_v05_fin_user_0019,drift_exception,1,0,,,409
mdgo_v05_probe_000356,mdgo_v05_fin_user_0019,false_personalization,1,0,,,455
mdgo_v05_probe_000357,mdgo_v05_fin_user_0019,insufficient_evidence,1,1,271,271,509
mdgo_v05_probe_000358,mdgo_v05_fin_user_0019,temporal_scope,2,9,291,80,663
mdgo_v05_probe_000359,mdgo_v05_fin_user_0019,explicit_retrieval,2,10,293,152.0,671
mdgo_v05_probe_000360,mdgo_v05_fin_user_0020,long_gap_direct,1,0,,,426
mdgo_v05_probe_000361,mdgo_v05_fin_user_0020,implicit_direct,1,4,110,63.5,432
mdgo_v05_probe_000362,mdgo_v05_fin_user_0020,boundary_near_miss,1,0,,,421
mdgo_v05_probe_000363,mdgo_v05_fin_user_0020,boundary_plus_active,2,11,295,110,658
mdgo_v05_probe_000364,mdgo_v05_fin_user_0020,exception_nested,1,1,30,30,471
mdgo_v05_probe_000365,mdgo_v05_fin_user_0020,exception_plus_active,2,0,,,601
mdgo_v05_probe_000366,mdgo_v05_fin_user_0020,composition_pair,2,13,295,110,603
mdgo_v05_probe_000367,mdgo_v05_fin_user_0020,composition_pair_2,2,7,211,81,644
mdgo_v05_probe_000368,mdgo_v05_fin_user_0020,composition_triple,3,13,291,106,783
mdgo_v05_probe_000369,mdgo_v05_fin_user_0020,priority_pair,2,13,297,86,694
mdgo_v05_probe_000370,mdgo_v05_fin_user_0020,priority_triple,3,13,297,86,762
mdgo_v05_probe_000371,mdgo_v05_fin_user_0020,drift_recent_override,1,0,,,415
mdgo_v05_probe_000372,mdgo_v05_fin_user_0020,drift_composition,2,12,297,98.0,584
mdgo_v05_probe_000373,mdgo_v05_fin_user_0020,drift_exception,1,0,,,399
mdgo_v05_probe_000374,mdgo_v05_fin_user_0020,false_personalization,1,0,,,427
mdgo_v05_probe_000375,mdgo_v05_fin_user_0020,insufficient_evidence,1,1,270,270,477
mdgo_v05_probe_000376,mdgo_v05_fin_user_0020,temporal_scope,2,10,297,154.0,644
mdgo_v05_probe_000377,mdgo_v05_fin_user_0020,explicit_retrieval,2,5,297,157,658
mdgo_v05_probe_000378,mdgo_v05_fin_user_0021,long_gap_direct,1,5,297,157,390
mdgo_v05_probe_000379,mdgo_v05_fin_user_0021,implicit_direct,1,5,295,155,510
mdgo_v05_probe_000380,mdgo_v05_fin_user_0021,boundary_near_miss,1,1,198,198,428
mdgo_v05_probe_000381,mdgo_v05_fin_user_0021,boundary_plus_active,2,11,297,110,649
mdgo_v05_probe_000382,mdgo_v05_fin_user_0021,exception_nested,1,1,30,30,403
mdgo_v05_probe_000383,mdgo_v05_fin_user_0021,exception_plus_active,2,12,296,138.0,617
mdgo_v05_probe_000384,mdgo_v05_fin_user_0021,composition_pair,2,11,297,86,613
mdgo_v05_probe_000385,mdgo_v05_fin_user_0021,composition_pair_2,2,15,297,155,661
mdgo_v05_probe_000386,mdgo_v05_fin_user_0021,composition_triple,3,19,296,108,842
mdgo_v05_probe_000387,mdgo_v05_fin_user_0021,priority_pair,2,13,296,85,627
mdgo_v05_probe_000388,mdgo_v05_fin_user_0021,priority_triple,3,13,297,86,843
mdgo_v05_probe_000389,mdgo_v05_fin_user_0021,drift_recent_override,1,4,108,61.5,404
mdgo_v05_probe_000390,mdgo_v05_fin_user_0021,drift_composition,2,12,296,95.5,607
mdgo_v05_probe_000391,mdgo_v05_fin_user_0021,drift_exception,1,5,108,44,418
mdgo_v05_probe_000392,mdgo_v05_fin_user_0021,false_personalization,1,0,,,422
mdgo_v05_probe_000393,mdgo_v05_fin_user_0021,insufficient_evidence,1,1,265,265,469
mdgo_v05_probe_000394,mdgo_v05_fin_user_0021,temporal_scope,2,9,296,85,657
mdgo_v05_probe_000395,mdgo_v05_fin_user_0021,explicit_retrieval,2,5,297,157,643
mdgo_v05_probe_000396,mdgo_v05_fin_user_0022,long_gap_direct,1,5,291,151,445
mdgo_v05_probe_000397,mdgo_v05_fin_user_0022,implicit_direct,1,5,291,151,456
mdgo_v05_probe_000398,mdgo_v05_fin_user_0022,boundary_near_miss,1,0,,,400
mdgo_v05_probe_000399,mdgo_v05_fin_user_0022,boundary_plus_active,2,11,295,111,617
mdgo_v05_probe_000400,mdgo_v05_fin_user_0022,exception_nested,1,1,31,31,397
mdgo_v05_probe_000401,mdgo_v05_fin_user_0022,exception_plus_active,2,11,291,80,662
mdgo_v05_probe_000402,mdgo_v05_fin_user_0022,composition_pair,2,13,295,84,595
mdgo_v05_probe_000403,mdgo_v05_fin_user_0022,composition_pair_2,2,8,211,94.0,618
mdgo_v05_probe_000404,mdgo_v05_fin_user_0022,composition_triple,3,19,294,83,812
mdgo_v05_probe_000405,mdgo_v05_fin_user_0022,priority_pair,2,9,291,96,683
mdgo_v05_probe_000406,mdgo_v05_fin_user_0022,priority_triple,3,13,291,80,853
mdgo_v05_probe_000407,mdgo_v05_fin_user_0022,drift_recent_override,1,4,111,64.5,450
mdgo_v05_probe_000408,mdgo_v05_fin_user_0022,drift_composition,2,12,295,95.0,589
mdgo_v05_probe_000409,mdgo_v05_fin_user_0022,drift_exception,1,5,111,47,380
mdgo_v05_probe_000410,mdgo_v05_fin_user_0022,false_personalization,1,0,,,423
mdgo_v05_probe_000411,mdgo_v05_fin_user_0022,insufficient_evidence,1,1,267,267,459
mdgo_v05_probe_000412,mdgo_v05_fin_user_0022,temporal_scope,2,9,295,84,624
mdgo_v05_probe_000413,mdgo_v05_fin_user_0022,explicit_retrieval,2,9,294,83,617
mdgo_v05_probe_000414,mdgo_v05_fin_user_0023,long_gap_direct,1,5,296,156,423
mdgo_v05_probe_000415,mdgo_v05_fin_user_0023,implicit_direct,1,4,111,64.5,440
mdgo_v05_probe_000416,mdgo_v05_fin_user_0023,boundary_near_miss,1,1,197,197,401
mdgo_v05_probe_000417,mdgo_v05_fin_user_0023,boundary_plus_active,2,6,296,176.5,629
mdgo_v05_probe_000418,mdgo_v05_fin_user_0023,exception_nested,1,1,28,28,440
mdgo_v05_probe_000419,mdgo_v05_fin_user_0023,exception_plus_active,2,11,296,85,612
mdgo_v05_probe_000420,mdgo_v05_fin_user_0023,composition_pair,2,9,296,141,637
mdgo_v05_probe_000421,mdgo_v05_fin_user_0023,composition_pair_2,2,8,176,92.5,697
mdgo_v05_probe_000422,mdgo_v05_fin_user_0023,composition_triple,3,19,296,155,799
mdgo_v05_probe_000423,mdgo_v05_fin_user_0023,priority_pair,2,13,292,82,659
mdgo_v05_probe_000424,mdgo_v05_fin_user_0023,priority_triple,3,17,292,81,809
mdgo_v05_probe_000425,mdgo_v05_fin_user_0023,drift_recent_override,1,4,111,64.5,429
mdgo_v05_probe_000426,mdgo_v05_fin_user_0023,drift_composition,2,13,295,84,601
mdgo_v05_probe_000427,mdgo_v05_fin_user_0023,drift_exception,1,5,111,47,380
mdgo_v05_probe_000428,mdgo_v05_fin_user_0023,false_personalization,1,0,,,460
mdgo_v05_probe_000429,mdgo_v05_fin_user_0023,insufficient_evidence,1,1,267,267,454
mdgo_v05_probe_000430,mdgo_v05_fin_user_0023,temporal_scope,2,9,295,84,552
mdgo_v05_probe_000431,mdgo_v05_fin_user_0023,explicit_retrieval,2,10,296,154.0,669
mdgo_v05_probe_000432,mdgo_v05_fin_user_0024,long_gap_direct,1,4,109,62.5,398
mdgo_v05_probe_000433,mdgo_v05_fin_user_0024,implicit_direct,1,4,109,62.5,456
mdgo_v05_probe_000434,mdgo_v05_fin_user_0024,boundary_near_miss,1,1,192,192,426
mdgo_v05_probe_000435,mdgo_v05_fin_user_0024,boundary_plus_active,2,10,292,129.0,612
mdgo_v05_probe_000436,mdgo_v05_fin_user_0024,exception_nested,1,1,117,117,429
mdgo_v05_probe_000437,mdgo_v05_fin_user_0024,exception_plus_active,2,6,296,59.0,645
mdgo_v05_probe_000438,mdgo_v05_fin_user_0024,composition_pair,2,11,292,81,627
mdgo_v05_probe_000439,mdgo_v05_fin_user_0024,composition_pair_2,2,9,296,109,675
mdgo_v05_probe_000440,mdgo_v05_fin_user_0024,composition_triple,3,14,296,78.5,822
mdgo_v05_probe_000441,mdgo_v05_fin_user_0024,priority_pair,2,14,297,115.0,666
mdgo_v05_probe_000442,mdgo_v05_fin_user_0024,priority_triple,3,18,297,91.0,809
mdgo_v05_probe_000443,mdgo_v05_fin_user_0024,drift_recent_override,1,3,106,77,438
mdgo_v05_probe_000444,mdgo_v05_fin_user_0024,drift_composition,2,12,297,97.5,621
mdgo_v05_probe_000445,mdgo_v05_fin_user_0024,drift_exception,1,4,106,51.5,424
mdgo_v05_probe_000446,mdgo_v05_fin_user_0024,false_personalization,1,0,,,457
mdgo_v05_probe_000447,mdgo_v05_fin_user_0024,insufficient_evidence,1,1,267,267,472
mdgo_v05_probe_000448,mdgo_v05_fin_user_0024,temporal_scope,2,10,297,155.0,625
mdgo_v05_probe_000449,mdgo_v05_fin_user_0024,explicit_retrieval,2,10,297,155.0,637
mdgo_v05_probe_000450,mdgo_v05_fin_user_0025,long_gap_direct,1,4,107,60.5,463
mdgo_v05_probe_000451,mdgo_v05_fin_user_0025,implicit_direct,1,4,111,64.5,427
mdgo_v05_probe_000452,mdgo_v05_fin_user_0025,boundary_near_miss,1,1,194,194,437
mdgo_v05_probe_000453,mdgo_v05_fin_user_0025,boundary_plus_active,2,12,294,173.5,656
mdgo_v05_probe_000454,mdgo_v05_fin_user_0025,exception_nested,1,1,119,119,386
mdgo_v05_probe_000455,mdgo_v05_fin_user_0025,exception_plus_active,2,11,294,83,585
mdgo_v05_probe_000456,mdgo_v05_fin_user_0025,composition_pair,2,14,294,146.5,671
mdgo_v05_probe_000457,mdgo_v05_fin_user_0025,composition_pair_2,2,12,292,94.0,652
mdgo_v05_probe_000458,mdgo_v05_fin_user_0025,composition_triple,3,18,292,94.0,808
mdgo_v05_probe_000459,mdgo_v05_fin_user_0025,priority_pair,2,8,134,68.0,616
mdgo_v05_probe_000460,mdgo_v05_fin_user_0025,priority_triple,3,13,296,85,830
mdgo_v05_probe_000461,mdgo_v05_fin_user_0025,drift_recent_override,1,4,111,64.5,437
mdgo_v05_probe_000462,mdgo_v05_fin_user_0025,drift_composition,2,12,296,96.0,661
mdgo_v05_probe_000463,mdgo_v05_fin_user_0025,drift_exception,1,5,111,47,373
mdgo_v05_probe_000464,mdgo_v05_fin_user_0025,false_personalization,1,0,,,455
mdgo_v05_probe_000465,mdgo_v05_fin_user_0025,insufficient_evidence,1,1,264,264,464
mdgo_v05_probe_000466,mdgo_v05_fin_user_0025,temporal_scope,2,9,294,83,648
mdgo_v05_probe_000467,mdgo_v05_fin_user_0025,explicit_retrieval,2,5,294,154,602
mdgo_v05_probe_000468,mdgo_v05_fin_user_0026,long_gap_direct,1,5,291,151,484
mdgo_v05_probe_000469,mdgo_v05_fin_user_0026,implicit_direct,1,4,111,64.5,440
mdgo_v05_probe_000470,mdgo_v05_fin_user_0026,boundary_near_miss,1,0,,,453
mdgo_v05_probe_000471,mdgo_v05_fin_user_0026,boundary_plus_active,2,11,291,111,613
mdgo_v05_probe_000472,mdgo_v05_fin_user_0026,exception_nested,1,1,116,116,391
mdgo_v05_probe_000473,mdgo_v05_fin_user_0026,exception_plus_active,2,6,297,139.5,633
mdgo_v05_probe_000474,mdgo_v05_fin_user_0026,composition_pair,2,13,291,82,600
mdgo_v05_probe_000475,mdgo_v05_fin_user_0026,composition_pair_2,2,9,211,82,646
mdgo_v05_probe_000476,mdgo_v05_fin_user_0026,composition_triple,3,14,297,128.5,771
mdgo_v05_probe_000477,mdgo_v05_fin_user_0026,priority_pair,2,13,294,83,670
mdgo_v05_probe_000478,mdgo_v05_fin_user_0026,priority_triple,3,18,297,91.0,863
mdgo_v05_probe_000479,mdgo_v05_fin_user_0026,drift_recent_override,1,4,111,64.5,410
mdgo_v05_probe_000480,mdgo_v05_fin_user_0026,drift_composition,2,8,294,130.0,607
mdgo_v05_probe_000481,mdgo_v05_fin_user_0026,drift_exception,1,5,111,47,399
mdgo_v05_probe_000482,mdgo_v05_fin_user_0026,false_personalization,1,0,,,443
mdgo_v05_probe_000483,mdgo_v05_fin_user_0026,insufficient_evidence,1,1,264,264,486
mdgo_v05_probe_000484,mdgo_v05_fin_user_0026,temporal_scope,2,5,294,154,620
mdgo_v05_probe_000485,mdgo_v05_fin_user_0026,explicit_retrieval,2,10,297,154.0,607
mdgo_v05_probe_000486,mdgo_v05_fin_user_0027,long_gap_direct,1,5,295,155,467
mdgo_v05_probe_000487,mdgo_v05_fin_user_0027,implicit_direct,1,4,294,192.0,449
mdgo_v05_probe_000488,mdgo_v05_fin_user_0027,boundary_near_miss,1,0,,,417
mdgo_v05_probe_000489,mdgo_v05_fin_user_0027,boundary_plus_active,2,9,291,109,609
mdgo_v05_probe_000490,mdgo_v05_fin_user_0027,exception_nested,1,1,32,32,381
mdgo_v05_probe_000491,mdgo_v05_fin_user_0027,exception_plus_active,2,10,294,97.5,560
mdgo_v05_probe_000492,mdgo_v05_fin_user_0027,composition_pair,2,11,291,109,686
mdgo_v05_probe_000493,mdgo_v05_fin_user_0027,composition_pair_2,2,14,295,153.0,655
mdgo_v05_probe_000494,mdgo_v05_fin_user_0027,composition_triple,3,17,295,84,816
mdgo_v05_probe_000495,mdgo_v05_fin_user_0027,priority_pair,2,12,295,144.0,699
mdgo_v05_probe_000496,mdgo_v05_fin_user_0027,priority_triple,3,15,295,109,805
mdgo_v05_probe_000497,mdgo_v05_fin_user_0027,drift_recent_override,1,3,109,45,449
mdgo_v05_probe_000498,mdgo_v05_fin_user_0027,drift_composition,2,11,294,106,630
mdgo_v05_probe_000499,mdgo_v05_fin_user_0027,drift_exception,1,4,109,37.0,400
mdgo_v05_probe_000500,mdgo_v05_fin_user_0027,false_personalization,1,0,,,462
mdgo_v05_probe_000501,mdgo_v05_fin_user_0027,insufficient_evidence,1,1,271,271,496
mdgo_v05_probe_000502,mdgo_v05_fin_user_0027,temporal_scope,2,8,294,97.5,620
mdgo_v05_probe_000503,mdgo_v05_fin_user_0027,explicit_retrieval,2,9,295,84,659
mdgo_v05_probe_000504,mdgo_v05_fin_user_0028,long_gap_direct,1,5,296,156,471
mdgo_v05_probe_000505,mdgo_v05_fin_user_0028,implicit_direct,1,5,292,152,462
mdgo_v05_probe_000506,mdgo_v05_fin_user_0028,boundary_near_miss,1,1,192,192,454
mdgo_v05_probe_000507,mdgo_v05_fin_user_0028,boundary_plus_active,2,9,295,109,648
mdgo_v05_probe_000508,mdgo_v05_fin_user_0028,exception_nested,1,1,27,27,420
mdgo_v05_probe_000509,mdgo_v05_fin_user_0028,exception_plus_active,2,11,296,85,648
mdgo_v05_probe_000510,mdgo_v05_fin_user_0028,composition_pair,2,11,295,106,611
mdgo_v05_probe_000511,mdgo_v05_fin_user_0028,composition_pair_2,2,13,292,106,661
mdgo_v05_probe_000512,mdgo_v05_fin_user_0028,composition_triple,3,16,291,79.0,828
mdgo_v05_probe_000513,mdgo_v05_fin_user_0028,priority_pair,2,12,296,90.5,690
mdgo_v05_probe_000514,mdgo_v05_fin_user_0028,priority_triple,3,17,296,96,815
mdgo_v05_probe_000515,mdgo_v05_fin_user_0028,drift_recent_override,1,4,107,60.5,423
mdgo_v05_probe_000516,mdgo_v05_fin_user_0028,drift_composition,2,11,291,80,616
mdgo_v05_probe_000517,mdgo_v05_fin_user_0028,drift_exception,1,5,107,43,412
mdgo_v05_probe_000518,mdgo_v05_fin_user_0028,false_personalization,1,0,,,426
mdgo_v05_probe_000519,mdgo_v05_fin_user_0028,insufficient_evidence,1,1,269,269,462
mdgo_v05_probe_000520,mdgo_v05_fin_user_0028,temporal_scope,2,9,291,80,644
mdgo_v05_probe_000521,mdgo_v05_fin_user_0028,explicit_retrieval,2,7,109,45,658
mdgo_v05_probe_000522,mdgo_v05_fin_user_0029,long_gap_direct,1,4,107,60.5,472
mdgo_v05_probe_000523,mdgo_v05_fin_user_0029,implicit_direct,1,5,297,157,492
mdgo_v05_probe_000524,mdgo_v05_fin_user_0029,boundary_near_miss,1,1,196,196,434
mdgo_v05_probe_000525,mdgo_v05_fin_user_0029,boundary_plus_active,2,10,297,131.5,641
mdgo_v05_probe_000526,mdgo_v05_fin_user_0029,exception_nested,1,1,120,120,398
mdgo_v05_probe_000527,mdgo_v05_fin_user_0029,exception_plus_active,2,11,297,86,668
mdgo_v05_probe_000528,mdgo_v05_fin_user_0029,composition_pair,2,12,297,123.5,673
mdgo_v05_probe_000529,mdgo_v05_fin_user_0029,composition_pair_2,2,12,296,147.5,615
mdgo_v05_probe_000530,mdgo_v05_fin_user_0029,composition_triple,3,15,296,106,784
mdgo_v05_probe_000531,mdgo_v05_fin_user_0029,priority_pair,2,14,296,115.0,648
mdgo_v05_probe_000532,mdgo_v05_fin_user_0029,priority_triple,3,19,296,134,792
mdgo_v05_probe_000533,mdgo_v05_fin_user_0029,drift_recent_override,1,4,107,60.5,423
mdgo_v05_probe_000534,mdgo_v05_fin_user_0029,drift_composition,2,12,297,123.5,628
mdgo_v05_probe_000535,mdgo_v05_fin_user_0029,drift_exception,1,5,107,43,436
mdgo_v05_probe_000536,mdgo_v05_fin_user_0029,false_personalization,1,0,,,442
mdgo_v05_probe_000537,mdgo_v05_fin_user_0029,insufficient_evidence,1,1,268,268,466
mdgo_v05_probe_000538,mdgo_v05_fin_user_0029,temporal_scope,2,9,297,86,647
mdgo_v05_probe_000539,mdgo_v05_fin_user_0029,explicit_retrieval,2,8,296,95.5,576
mdgo_v05_probe_000540,mdgo_v05_fin_user_0030,long_gap_direct,1,5,297,157,426
mdgo_v05_probe_000541,mdgo_v05_fin_user_0030,implicit_direct,1,4,108,61.5,448
mdgo_v05_probe_000542,mdgo_v05_fin_user_0030,boundary_near_miss,1,1,196,196,386
mdgo_v05_probe_000543,mdgo_v05_fin_user_0030,boundary_plus_active,2,12,297,176.5,633
mdgo_v05_probe_000544,mdgo_v05_fin_user_0030,exception_nested,1,1,119,119,409
mdgo_v05_probe_000545,mdgo_v05_fin_user_0030,exception_plus_active,2,11,294,83,602
mdgo_v05_probe_000546,mdgo_v05_fin_user_0030,composition_pair,2,13,297,141,616
mdgo_v05_probe_000547,mdgo_v05_fin_user_0030,composition_pair_2,2,14,294,152.5,647
mdgo_v05_probe_000548,mdgo_v05_fin_user_0030,composition_triple,3,21,297,151,868
mdgo_v05_probe_000549,mdgo_v05_fin_user_0030,priority_pair,2,13,297,134,590
mdgo_v05_probe_000550,mdgo_v05_fin_user_0030,priority_triple,3,14,295,80.0,856
mdgo_v05_probe_000551,mdgo_v05_fin_user_0030,drift_recent_override,1,4,110,63.5,408
mdgo_v05_probe_000552,mdgo_v05_fin_user_0030,drift_composition,2,13,295,84,653
mdgo_v05_probe_000553,mdgo_v05_fin_user_0030,drift_exception,1,5,110,46,418
mdgo_v05_probe_000554,mdgo_v05_fin_user_0030,false_personalization,1,0,,,444
mdgo_v05_probe_000555,mdgo_v05_fin_user_0030,insufficient_evidence,1,1,266,266,480
mdgo_v05_probe_000556,mdgo_v05_fin_user_0030,temporal_scope,2,10,295,154.5,624
mdgo_v05_probe_000557,mdgo_v05_fin_user_0030,explicit_retrieval,2,10,294,152.5,689
mdgo_v05_probe_000558,mdgo_v05_fin_user_0031,long_gap_direct,1,3,106,77,395
mdgo_v05_probe_000559,mdgo_v05_fin_user_0031,implicit_direct,1,5,292,152,447
mdgo_v05_probe_000560,mdgo_v05_fin_user_0031,boundary_near_miss,1,1,198,198,502
mdgo_v05_probe_000561,mdgo_v05_fin_user_0031,boundary_plus_active,2,10,293,129.5,659
mdgo_v05_probe_000562,mdgo_v05_fin_user_0031,exception_nested,1,1,26,26,393
mdgo_v05_probe_000563,mdgo_v05_fin_user_0031,exception_plus_active,2,12,293,135.0,643
mdgo_v05_probe_000564,mdgo_v05_fin_user_0031,composition_pair,2,10,293,94.0,651
mdgo_v05_probe_000565,mdgo_v05_fin_user_0031,composition_pair_2,2,10,292,131.0,639
mdgo_v05_probe_000566,mdgo_v05_fin_user_0031,composition_triple,3,17,297,141,860
mdgo_v05_probe_000567,mdgo_v05_fin_user_0031,priority_pair,2,14,293,115.0,682
mdgo_v05_probe_000568,mdgo_v05_fin_user_0031,priority_triple,3,19,293,134,825
mdgo_v05_probe_000569,mdgo_v05_fin_user_0031,drift_recent_override,1,3,110,46,435
mdgo_v05_probe_000570,mdgo_v05_fin_user_0031,drift_composition,2,9,291,80,623
mdgo_v05_probe_000571,mdgo_v05_fin_user_0031,drift_exception,1,4,110,38.0,401
mdgo_v05_probe_000572,mdgo_v05_fin_user_0031,false_personalization,1,0,,,433
mdgo_v05_probe_000573,mdgo_v05_fin_user_0031,insufficient_evidence,1,1,267,267,462
mdgo_v05_probe_000574,mdgo_v05_fin_user_0031,temporal_scope,2,8,291,93.0,650
mdgo_v05_probe_000575,mdgo_v05_fin_user_0031,explicit_retrieval,2,8,297,98.0,671
mdgo_v05_probe_000576,mdgo_v05_fin_user_0032,long_gap_direct,1,5,293,153,445
mdgo_v05_probe_000577,mdgo_v05_fin_user_0032,implicit_direct,1,4,107,60.5,453
mdgo_v05_probe_000578,mdgo_v05_fin_user_0032,boundary_near_miss,1,1,197,197,438
mdgo_v05_probe_000579,mdgo_v05_fin_user_0032,boundary_plus_active,2,11,296,112,657
mdgo_v05_probe_000580,mdgo_v05_fin_user_0032,exception_nested,1,1,122,122,458
mdgo_v05_probe_000581,mdgo_v05_fin_user_0032,exception_plus_active,2,6,293,135.5,626
